회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),부채비율(IFRS),타인자본구성비율(IFRS),자기자본구성비율(IFRS),매출액증가율(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),경상연구개발비(IFRS)(천원),광고 및 판매촉진비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(계산수치)(IFRS)(천원)
엔에이치투자증권(주),005940,2014/12,40426401000,821.91,89.15,10.85,0,-689789000,0,0,0,111011000
엔피씨(주),004250,2014/12,257970313,63.85,38.97,61.03,7.22,14184380,0,0,14836848,14836848
엘브이엠씨홀딩스(주),900140,2014/12,,,,,,,,,,
엘아이지넥스원(주),079550,2014/12,1630371444,350.22,77.79,22.21,15.88,64995904,0,4391350,73033275,73033275
엘지디스플레이(주),034220,2014/12,21011837000,97.78,49.44,50.56,-1.82,2566399000,0,106417000,984790000,984790000
엘지전자(주),066570,2014/12,26282313000,176.99,63.9,36.1,5.26,663306000,0,775341000,301324000,301324000
영보화학(주),014440,2014/12,155196412,62.22,38.35,61.65,-14.87,7697559,0,0,5891581,5891581
영진약품(주),003520,2014/12,178968333,77.57,43.68,56.32,6.99,6216131,0,5428365,6976489,6976489
영풍제지(주),006740,2014/12,116410666,17.08,14.59,85.41,-11.92,7403711,0,0,864984,864984
영화금속(주),012280,2014/12,104415472,98.68,49.67,50.33,39.36,11934343,0,0,9236136,9236136
우리종합금융(주),010050,2014/03,855470471,1233.69,92.5,7.5,-41.68,-138199004,0,0,0,-78350146
웰바이오텍(주),010600,2014/12,54128968,36.9,26.95,73.05,-3.81,-866925,0,0,3476813,3476813
유니온머티리얼(주),047400,2014/12,140811864,53.07,34.67,65.33,8.72,12233682,1336718,214474,5418906,5418906
유니퀘스트(주),077500,2014/12,195965321,38.47,27.78,72.22,33.53,10305997,0,0,11036813,11036813
유성기업(주),002920,2014/12,286888720,45.32,31.19,68.81,6.74,15337951,0,0,-1447616,-1447616
유안타증권(주),003470,2014/12,7061940364,680.85,87.19,12.81,0,-444544204,0,0,0,-114499750
유엔젤(주),072130,2014/12,60985098,11.62,10.41,89.59,-33.44,-4811909,0,1110735,-4949499,-4949499
유진투자증권(주),001200,2014/12,4475342789,694.84,87.42,12.58,0,-191381520,0,0,0,10751671
유화증권(주),003460,2014/03,611168648,32.58,24.57,75.43,-18.84,676191,0,0,0,6200148
율촌화학(주),008730,2014/12,566234547,80.27,44.53,55.47,2.56,5491400,4093583,131837,14374504,14374504
이건산업(주),008250,2014/12,228977715,160.73,61.65,38.35,11.78,14342789,0,0,4716021,4716021
이구산업(주),025820,2014/12,274955331,152.44,60.39,39.61,-2.22,-1107591,0,0,4757256,4757256
이연제약(주),102460,2014/12,191245740,22.98,18.69,81.31,2.2,15102444,0,0,16723163,16723163
이화산업(주),000760,2014/03,115979437,173.67,63.46,36.54,11.89,-3021603,0,0,-2918120,-2918120
인지컨트롤스(주),023800,2014/12,274327948,95.56,48.86,51.14,8.46,7099998,0,0,9139060,9139060
인천도시가스(주),034590,2014/12,378149471,141.67,58.62,41.38,4.18,11539250,0,0,11095874,11095874
인터지스(주),129260,2014/12,482867829,165.84,62.38,37.62,7.45,3571847,0,0,28310170,28310170
일동홀딩스(주),000230,2014/12,604811196,84.17,45.7,54.3,6.1,40809803,4404811,37502291,15230208,15230208
일성건설(주),013360,2014/12,261563120,183.65,64.74,35.26,-27.26,-19293173,0,0,-32277306,-32277306
일성신약(주),003120,2014/12,378370702,15.12,13.13,86.87,0.03,4190571,134713,4837265,2430674,2430674
일신방직(주),003200,2014/12,562635015,16.24,13.97,86.03,-0.09,13944507,0,169710,3433602,3433602
