,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG,E,S,G,배당지급(DV)
현대백화점,유통업,2013,5600706253000.0,57.94,63.32,0.91,0.3073761722490586,1.4300000000000002,B이하,B,B+,B이하,14973000.0
현대비앤지스틸,철강금속,2013,626576633000.0,111.87,47.2,-6.6,0.05246183910058689,0.7,B이하,C,B이하,B이하,0.0
현대위아,운수장비,2013,4860454999000.0,110.29,47.55,1.01,0.08420546681459036,2.185,B+,B,B+,B+,12865000.0
현대제철,철강금속,2013,29520275370000.0,120.88,45.27,-4.34,0.05025320969168902,0.515,B+,B+,B+,B+,57939000.0
현대홈쇼핑,유통업,2013,1429041784000.0,23.71,80.84,5.18,0.11230895204422763,1.6349999999999998,B이하,B,B이하,B이하,13200000.0
혜인,유통업,2013,228890084000.0,138.29,41.96,14.88,0.12900113274436945,0.535,B이하,B,B이하,B이하,562000.0
호텔신라,유통업,2013,1712070637000.0,152.31,39.63,3.49,0.06704217021839586,3.5199999999999996,B이하,C,B이하,B이하,5940000.0
화성산업,건설업,2013,419481129000.0,76.48,56.66,0.4,0.10229408578979006,0.27,B이하,B+,B이하,B이하,2853000.0
화신,운수장비,2013,781630816000.0,133.61,42.81,-8.76,0.04549172618823618,1.26,B이하,C,B이하,B이하,3472000.0
화천기계,기계,2013,173810242000.0,42.14,70.35,0.55,0.026744015503281017,0.525,B이하,B,B이하,B이하,1980000.0
화천기공,기계,2013,316080665000.0,37.5,72.73,-8.69,0.06222286769299628,0.57,B이하,B,B이하,B이하,3300000.0
환인제약,의약품,2013,193100883000.0,11.48,89.7,-2.56,0.1020937691424196,1.2850000000000001,B이하,B+,B이하,B이하,3817000.0
황금에스티,철강금속,2013,253730129000.0,47.68,67.71,3.52,0.04380926491096873,0.375,B이하,B,B이하,B이하,700000.0
효성,화학,2013,13593412883000.0,408.34,19.67,-0.26,0.06010438708575989,0.9099999999999999,B+,B+,B+,B+,33269000.0
후성,화학,2013,290138308000.0,119.82,45.49,-8.65,0.07789164880231149,3.0599999999999996,B이하,C,B이하,B이하,0.0
휴스틸,철강금속,2013,561572715000.0,38.31,72.3,-6.99,0.0329709974868973,0.405,B이하,B,B이하,B이하,4843000.0
흥아해운,운수창고업,2013,571060118000.0,267.6,27.2,5.98,0.03618570407760928,0.88,B이하,B,B이하,B이하,752000.0
