회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),부채비율(IFRS),타인자본구성비율(IFRS),자기자본구성비율(IFRS),매출액증가율(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),경상연구개발비(IFRS)(천원),광고 및 판매촉진비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(계산수치)(IFRS)(천원)
넷마블(주),251270,2017/12,4811061974,9.72,8.86,91.14,55.51,194117536,62854,199293301,167887300,167887300
다스코(주),058730,2017/12,225818139,86.92,46.5,53.5,42.11,-13815468,0,0,21047022,21047022
다올투자증권(주),030210,2017/12,1712197891,271.41,73.08,26.92,36.17,-285987796,0,0,0,40171292
대동전자(주),008110,2017/03,135912575,18.59,15.68,84.32,9.9,2761915,0,0,260720,260720
대림비앤코(주),005750,2017/12,287399785,78.31,43.92,56.08,11.41,9107694,0,1919939,15822805,15822805
대림통상(주),006570,2017/12,225994754,82.95,45.34,54.66,15.89,2315320,246948,0,2207939,2207939
대상(주),001680,2017/12,1894468926,119.56,54.45,45.55,18.21,125586715,0,28297000,103140644,103140644
대상홀딩스(주),084690,2017/12,405777950,4.81,4.59,95.41,7.66,11078790,0,0,10808391,10808391
대성산업(주),128820,2017/12,951642403,153.84,60.61,39.39,-50.69,6528701,0,0,-7162736,-7162736
대성에너지(주),117580,2017/12,645802827,115.14,53.52,46.48,3.71,47933834,0,618870,19887161,19887161
대성홀딩스(주),016710,2017/12,394746659,69.96,41.16,58.84,-11.19,7580933,0,433554,9073069,9073069
대신증권(주),003540,2017/12,13512624121,686.75,87.29,12.71,-15.43,-320027466,0,0,0,52903397
대영포장(주),014160,2017/12,207669261,60.68,37.76,62.24,16.83,1741608,0,0,-2746291,-2746291
대우전자부품(주),009320,2017/12,65634732,71.84,41.8,58.2,11.81,5079564,2236344,0,3310751,3310751
대우조선해양(주),042660,2017/12,11022743789,301.7,75.11,24.89,-6.6,-1193655594,0,0,716502804,716502804
대원강업(주),000430,2017/12,731607235,83.6,45.53,54.47,-7.64,69845943,20736511,0,23423384,23423384
대원전선(주),006340,2017/12,220738570,173.96,63.5,36.5,20.59,-10340019,0,0,-2684609,-2684609
대원제약(주),003220,2017/12,224159317,35.2,26.04,73.96,10.45,5122116,0,0,26443059,26443059
대원화성(주),024890,2017/12,111169870,65.63,39.63,60.37,-6.76,4168241,0,0,5053543,5053543
대창단조(주),015230,2017/12,172816175,16.57,14.21,85.79,27.24,-458442,0,0,15352558,15352558
대한방직(주),001070,2017/12,363313651,107.88,51.9,48.1,-14.26,4489699,0,0,-8878328,-8878328
대한유화(주),006650,2017/12,1900767238,33.78,25.25,74.75,11.69,226687982,0,0,283061616,283061616
대한전선(주),001440,2017/12,1237437015,232.86,69.96,30.04,22,31703641,0,0,47242233,47242233
대한제강(주),084010,2017/12,671655603,47.66,32.28,67.72,35.32,98088603,0,0,42605436,42605436
대한제당(주),001790,2017/12,994798047,117.37,54,46,0.81,2409098,0,0,7373234,7373234
대한제분(주),001130,2017/12,689594455,10.61,9.59,90.41,-5.29,16764830,0,2078360,19514857,19514857
대한해운(주),005880,2017/12,1995500363,244.71,70.99,29.01,41.54,149885057,0,0,80077991,80077991
대한화섬(주),003830,2017/12,558937149,19.22,16.12,83.88,5.94,5519970,0,0,5748612,5748612
덕양산업(주),024900,2017/12,331824039,452.36,81.9,18.1,10.98,30701051,0,0,2276869,2276869
동국제강(주),001230,2017/12,6192759636,116.05,53.72,46.28,21.47,-46070925,0,0,166719589,166719589
동부건설(주),005960,2017/12,611801332,100.1,50.02,49.98,21.42,-5498502,0,0,25732989,25732989
동성제약(주),002210,2017/12,124184875,93.22,48.25,51.75,3.34,1798769,0,0,955133,955133
동아쏘시오홀딩스(주),000640,2017/12,899262926,41.29,29.22,70.78,49.62,47219277,5368616,841075,29297389,29297389
동아에스티(주),170900,2017/12,899828826,54.79,35.4,64.6,-0.98,51355283,48486693,14767399,24067888,24067888
동아타이어공업(주),282690,2017/12,348591443,,,,,2348343,0,1080,1426993,1426993
