,ESG 통합등급,2011_E,2011_S,2011_G,평가연도,업종명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),[공통]   배당금(*)(요약)(IFRS),부채비율(IFRS연결),타인자본구성비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),경상연구개발비(IFRS연결)(천원),광고 및 판매촉진비(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),* (정상)영업손익(계산수치)(IFRS연결)(천원),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS)
현대건설,A,B+,A,A,2011,건설업,720,2011/12,11871889261.0,55732.0,172.07,63.25,36.75,4.77,-155752180.0,0.0,0.0,754006973.0,735596196.0,2.44,1.3
현대글로비스,B+,B,B+,B이하,2011,운수창고업,86280,2011/12,3826579602.0,56250.0,156.52,61.02,38.98,30.83,274407004.0,0.0,0.0,464318029.0,460963958.0,6.66,3.48
현대모비스,A,B+,A,B+,2011,운수장비,12330,2011/12,22575648000.0,167236.0,63.66,38.9,61.1,18.75,2159413000.0,0.0,53228000.0,2674887000.0,2637831000.0,3.69,2.17
현대미포조선,B+,B,B이하,C,2011,운수장비,10620,2011/12,7824563657.0,39181.0,129.55,56.44,43.56,11.74,-580645175.0,0.0,0.0,377849406.0,377849406.0,1.47,0.57
현대백화점,B+,B+,B+,C,2011,유통업,69960,2011/12,4720062645.0,14973.0,63.19,38.72,61.28,13.26,346923214.0,0.0,48820441.0,450155249.0,436616875.0,2.21,1.32
현대비앤지스틸,B이하,B,B이하,B이하,2011,철강금속,4560,2011/12,622203431.0,0.0,142.53,58.77,41.23,0.0,19642505.0,0.0,0.0,31890936.0,29788304.0,1.85,0.66
현대제철,A,B+,A,B+,2011,철강금속,4020,2011/12,21776708194.0,42143.0,138.81,58.13,41.87,49.09,801651915.0,0.0,0.0,1304160558.0,1274505847.0,1.43,0.71
혜인,B이하,C,B이하,C,2011,유통업,3010,2011/12,199424354.0,1315.0,78.6,44.01,55.99,0.0,2874508.0,0.0,0.0,4542653.0,7579073.0,1.2,0.4
호텔신라,B이하,B,B이하,B이하,2011,유통업,8770,2011/12,1385303349.0,11831.0,130.33,56.58,43.42,23.06,20966828.0,0.0,0.0,97523146.0,97523146.0,2.91,1.54
화성산업,B+,B+,B+,C,2011,건설업,2460,2011/12,486925661.0,0.0,135.18,57.48,42.52,2.16,47925689.0,0.0,0.0,-90378633.0,-80781707.0,0.3,0.12
화신,B이하,C,B이하,C,2011,운수장비,10690,2011/12,887893456.0,3492.0,144.45,59.09,40.91,7.21,67576773.0,1680171.0,0.0,74768440.0,71367642.0,2.69,1.39
화천기계,B이하,B,B이하,B이하,2011,기계,10660,2011/12,,1980.0,,,,,,,,,,0.92,0.42
화천기공,B이하,B,B이하,C,2011,기계,850,2011/12,312696483.0,2750.0,49.46,33.09,66.91,52.12,8795175.0,0.0,0.0,25627593.0,22616568.0,0.86,0.4
환인제약,B이하,B,B이하,C,2011,의약품,16580,2011/12,,3817.0,,,,,,,,,,1.26,0.73
황금에스티,B이하,B,B이하,C,2011,철강금속,32560,2011/12,257748613.0,1800.0,62.19,38.35,61.65,15.22,1703334.0,0.0,0.0,12660169.0,12660169.0,0.73,0.34
효성,B이하,B+,B이하,B+,2011,화학,4800,2011/12,13623189543.0,33269.0,360.19,78.27,21.73,11.78,-547234116.0,0.0,0.0,288837595.0,274720435.0,1.37,0.62
후성,B이하,C,B이하,B이하,2011,화학,93370,2011/12,308040011.0,0.0,140.7,58.45,41.55,26.01,22153140.0,2903597.0,0.0,25399430.0,25760872.0,6.99,2.63
휴스틸,C,B,C,B이하,2011,철강금속,5010,2011/12,536914288.0,6919.0,40.52,28.84,71.16,11.36,53222896.0,0.0,0.0,40871311.0,39884224.0,0.47,0.3
흥아해운,B이하,B,B이하,C,2011,운수창고업,3280,2011/12,530943511.0,487.0,368.79,78.67,21.33,12.78,-5779353.0,0.0,0.0,-5474467.0,-6565956.0,1.0,0.41
