,거래소코드,회계년도,자산(*)(IFRS연결)(천원),[공통]배당금(*)(요약)(IFRS),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),ESG 통합등급,2011_E,2011_S,2011_G,평가연도,업종명,현금흐름,PBR
조일알미늄,18470,2011/12,291361368000.0,1392000000.0,74.52,57.3,-2.73,C,B,C,B이하,2011,철강금속,0.03249713969925837,0.43500000000000005
조흥,2600,2011/12,132879902000.0,1500000000.0,51.08,66.19,48.42,C,B,C,B이하,2011,음식료품,0.049107514392485604,0.45999999999999996
종근당바이오,63160,2011/12,198292672000.0,1795000000.0,66.63,60.01,-9.08,C,C,C,B이하,2011,의약품,0.11728675991603937,0.7250000000000001
주연테크,44380,2011/12,38168437000.0,0.0,28.88,77.59,-40.91,B이하,B,B이하,C,2011,전기전자,-0.07101833387438358,0.61
진도,88790,2011/12,180096209000.0,3012000000.0,134.36,42.67,23.23,C,B,C,C,2011,유통업,-0.11079797951471898,0.77
진양산업,3780,2011/12,31173990000.0,2000000000.0,27.87,78.2,0.0,C,C,C,C,2011,화학,0.13165407668702858,1.0
진양홀딩스,100250,2011/12,516628401000.0,3074000000.0,44.38,69.26,15.85,B이하,B,B이하,C,2011,서비스업,4.065939919354839,0.495
진양화학,51630,2011/12,39100954000.0,900000000.0,63.22,61.27,8.34,C,B,C,B이하,2011,화학,0.004719585066207754,0.92
진흥기업,2780,2011/12,662747609000.0,0.0,0.0,0.0,-7.34,B이하,B,B이하,B이하,2011,건설업,-0.10853113107407183,0.0
참엔지니어링,9310,2011/12,209208583000.0,2003000000.0,102.79,49.31,1.03,B이하,B,B이하,C,2011,기계,0.0499802640112549,0.9850000000000001
천일고속,650,2011/12,54678596000.0,0.0,33.03,75.17,1.77,C,C,C,C,2011,운수창고업,0.06747671050123881,1.085
카프로,6380,2011/12,887539265000.0,40000000000.0,72.99,57.81,26.0,B이하,B,B이하,B이하,2011,화학,0.22265770344189537,2.375
코리아써키트,7810,2011/12,419488244000.0,0.0,69.04,59.16,25.95,B이하,B,B이하,B이하,2011,전기전자,0.014592326056416931,0.76
코스모신소재,5070,2011/12,218464597000.0,0.0,109.9,47.64,-3.94,B이하,B,B이하,C,2011,화학,-0.04471279174545962,1.0
코스모화학,5420,2011/12,527599743000.0,0.0,107.1,48.29,38.2,B이하,B,B이하,B이하,2011,화학,-0.06189409560056393,0.755
코아스,71950,2011/12,105316982000.0,0.0,168.52,37.24,6.64,B이하,C,B이하,B이하,2011,기타제조업,0.015135116838247309,0.7450000000000001
