,종목명,2014_E,2014_S,2014_G,2015_E,2015_S,2015_G,Diff_E,Diff_S,Diff_G,업종명,2014_종가,2015_종가,등락률,연도
95,노루페인트,2.0,1.5,3.0,2.0,1.5,1.5,0.0,0.0,-1.5,화학,7060,10900,0.5439093484419264,"14,15년"
96,노루홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,기타금융,25400,28750,0.13188976377952755,"14,15년"
97,녹십자,2.0,1.5,1.5,2.0,3.0,1.5,0.0,1.5,0.0,의약품,137000,181500,0.3248175182481752,"14,15년"
98,녹십자홀딩스,2.0,1.5,1.5,1.0,3.0,1.5,-1.0,1.5,0.0,서비스업,22450,41050,0.8285077951002228,"14,15년"
99,농심,2.0,1.5,3.0,1.0,1.5,3.0,-1.0,0.0,0.0,음식료품,267000,369000,0.38202247191011235,"14,15년"
100,농심홀딩스,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,기타금융,125500,150000,0.1952191235059761,"14,15년"
101,다우기술,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,서비스업,11100,24850,1.2387387387387387,"14,15년"
102,대교,5.0,1.5,1.5,4.0,1.5,1.5,-1.0,0.0,0.0,서비스업,7450,9150,0.22818791946308725,"14,15년"
103,대구백화점,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,유통업,15250,14200,-0.06885245901639345,"14,15년"
104,대덕전자,2.0,3.0,3.0,2.0,1.5,1.5,0.0,-1.5,-1.5,전기전자,9050,7350,-0.1878453038674033,"14,15년"
105,대동전자,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,전기전자,4465,5190,0.1623740201567749,"14,15년"
106,대림통상,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,기계,4300,6820,0.586046511627907,"14,15년"
107,대상,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,음식료품,41550,31100,-0.25150421179302046,"14,15년"
108,대상홀딩스,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,기타금융,20800,21350,0.026442307692307692,"14,15년"
109,대성산업,2.0,1.5,3.0,2.0,1.5,3.0,0.0,0.0,0.0,유통업,2490,4030,0.6184738955823293,"14,15년"
110,대성에너지,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,전기가스업,6350,6630,0.04409448818897638,"14,15년"
111,대성홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,서비스업,12300,11900,-0.032520325203252036,"14,15년"
112,대신증권,3.0,1.5,1.5,4.0,1.5,1.5,1.0,0.0,0.0,증권,10250,10500,0.024390243902439025,"14,15년"
113,대양금속,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,철강금속,610,601,-0.014754098360655738,"14,15년"
114,대영포장,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,종이목재,890,1135,0.2752808988764045,"14,15년"
115,대우건설,,4.0,4.0,,3.0,4.0,,-1.0,0.0,건설업,6550,6510,-0.0061068702290076335,"14,15년"
116,대우부품,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,운수장비,830,1200,0.4457831325301205,"14,15년"
117,대우조선해양,3.0,1.5,3.0,2.0,1.5,4.0,-1.0,0.0,1.0,운수장비,18300,6940,-0.6207650273224044,"14,15년"
118,대웅,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,의약품,51300,63700,0.24171539961013644,"14,15년"
119,대웅제약,2.0,1.5,1.5,1.0,3.0,1.5,-1.0,1.5,0.0,의약품,69700,76200,0.09325681492109039,"14,15년"
120,대원강업,2.0,1.5,3.0,1.0,1.5,3.0,-1.0,0.0,0.0,운수장비,6420,4955,-0.22819314641744548,"14,15년"
121,대원전선,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,전기전자,904,1990,1.2013274336283186,"14,15년"
122,대원제약,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,의약품,16550,20800,0.256797583081571,"14,15년"
