,업종명,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,평가연도,현금흐름(CF),PBR,ESG,E,S,G,배당지급(DV)
코웨이,서비스업,1775397143000.0,43.38,69.74,7.17,2015,0.23728466042165403,6.865,B+,B,A,A,208032000000.0
콤텍시스템,서비스업,107817629000.0,99.53,50.12,-21.4,2015,-0.03504208128604264,1.495,B이하,C,B이하,B이하,0.0
키움증권,증권,6473795166000.0,483.31,17.14,38.56,2015,-0.2442627612013936,1.4649999999999999,B이하,A,B이하,B이하,15470000000.0
태경산업,화학,467026320000.0,81.47,55.11,-13.2,2015,0.22284426790586465,1.325,B이하,B,B이하,B이하,5261000000.0
태광산업,화학,3824851529000.0,29.65,77.13,-11.32,2015,0.20580257480452527,0.64,B이하,C,B이하,B이하,1473000000.0
태림포장,종이목재,621990367000.0,66.31,60.13,0.0,2015,0.03634197162613551,0.78,B이하,C,B이하,B이하,531000000.0
태영건설,건설업,3011325836000.0,138.21,41.98,0.45,2015,0.05870383309324959,0.64,B+,B+,B이하,B+,0.0
태원물산,운수장비,43650059000.0,37.43,72.77,-3.48,2015,0.04234456069003968,0.925,B이하,C,B이하,B이하,660000000.0
태평양물산,섬유의복,611246572000.0,292.1,25.5,5.47,2015,0.0018241691501951927,1.27,B이하,B,B이하,B이하,748000000.0
텔코웨어,서비스업,119593383000.0,14.42,87.39,17.23,2015,0.27397576216944586,1.455,B이하,B,B이하,B이하,3714000000.0
티에이치엔,전기전자,197688214000.0,801.75,11.09,20.43,2015,0.018926934234170675,0.5549999999999999,B이하,C,B이하,B이하,848000000.0
티웨이홀딩스,비금속광물,146705005000.0,238.05,29.58,22.3,2015,1.5103518282699655,5.875,B이하,D,B이하,B이하,0.0
파미셀,의약품,102101332000.0,11.78,89.46,24.91,2015,-0.09577279949157928,5.965,B이하,B,B이하,B이하,0.0
팜스코,음식료품,776145267000.0,192.03,34.24,3.67,2015,0.047171677282086794,2.085,B이하,B,B이하,B이하,0.0
퍼스텍,기계,203613976000.0,178.34,35.93,20.02,2015,-0.07316758856893202,4.02,B이하,B,B이하,B이하,0.0
퍼시스,기타제조업,401495530000.0,13.61,88.02,10.78,2015,0.14954608927655208,1.135,B이하,B,B이하,B이하,6668000000.0
페이퍼코리아,종이목재,554699622000.0,371.61,21.2,-1.93,2015,-0.03986380824490872,1.12,B이하,C,B이하,B이하,0.0
평화산업,운수장비,164280658000.0,175.6,36.28,33.77,2015,0.02551585589777772,1.095,B이하,B+,B이하,B이하,311000000.0
평화홀딩스,서비스업,454722206000.0,188.05,34.72,2.3,2015,1.6909573845832462,0.445,B이하,B,B이하,B이하,1384000000.0
풀무원,서비스업,975950981000.0,195.43,33.85,10.03,2015,1.6498199562797475,2.415,B+,B+,B+,B+,3799000000.0
풍산,철강금속,2607569919000.0,138.57,41.92,-6.02,2015,0.1664220157907348,0.66,B+,B+,B이하,B+,14006000000.0
풍산홀딩스,서비스업,698530608000.0,19.05,84.0,-0.37,2015,0.06127221216243145,0.8049999999999999,B이하,B,B이하,B이하,7790000000.0
하나금융지주,기타금융,326912708000000.0,1323.11,7.03,21.83,2015,6.134743520918403,0.585,A,A+,B+,B이하,148002000000.0
하나투어,서비스업,504354080000.0,132.11,43.08,19.19,2015,0.09721231514505072,10.115,B이하,B,B이하,B이하,8832000000.0
하이스틸,철강금속,227177154000.0,86.08,53.74,-30.38,2015,0.10198919948217726,0.39,B이하,B,B이하,B이하,0.0
하이트진로,음식료품,3460482406000.0,161.25,38.28,1.88,2015,0.182802980437049,1.48,B이하,B,B이하,B+,69839000000.0
하이트진로홀딩스,서비스업,4068786993000.0,266.08,27.32,1.98,2015,6.49520178096025,0.38,B이하,B,B이하,B이하,4387000000.0
한국가스공사,전기가스업,42385339683000.0,321.45,23.73,-30.13,2015,0.21412000544855342,0.465,B+,B+,B+,A,14898000000.0
한국공항,운수창고업,381351995000.0,42.0,70.42,0.0,2015,0.07811627370471694,0.47,B이하,D,B이하,B이하,1529000000.0
한국내화,비금속광물,201235778000.0,98.36,50.41,1.82,2015,0.06262055743659888,0.895,B이하,B,B이하,B이하,1063000000.0
한국쉘석유,화학,126542699000.0,30.65,76.54,-6.23,2015,0.16904791414414455,8.455,B+,B+,B+,B이하,23400000000.0
한국전자홀딩스,서비스업,217226132000.0,81.67,55.04,-21.28,2015,0.23594324905863368,0.335,B이하,B,B이하,B이하,0.0
한국종합기술,서비스업,225647093000.0,85.88,53.8,11.94,2015,0.002339000369589321,0.58,B이하,B,B이하,B이하,1095000000.0
