,업종명,종목명,2021_E,2021_S,2021_G,2022_E,2022_S,2022_G,Diff_E,Diff_S,Diff_G,2021_종가,2022_종가,등락률,연도
128,서비스업,넷마블,1.0,4.0,5.0,2.0,4.0,3.0,1.0,0.0,-2.0,123500,44600,-0.6388663967611335,"21,22년"
129,서비스업,녹십자홀딩스,4.0,4.0,4.0,3.0,5.0,4.0,-1.0,1.0,0.0,29300,17350,-0.4078498293515358,"21,22년"
130,서비스업,다우기술,3.0,5.0,4.0,4.0,5.0,2.0,1.0,0.0,-2.0,23300,18100,-0.223175965665236,"21,22년"
131,서비스업,대교,1.0,4.0,5.0,1.0,4.0,4.0,0.0,0.0,-1.0,4335,2295,-0.4705882352941176,"21,22년"
133,서비스업,더블유게임즈,1.0,4.0,4.0,1.0,2.0,4.0,0.0,-2.0,0.0,64200,47950,-0.2531152647975078,"21,22년"
134,서비스업,더존비즈온,2.0,3.0,3.0,1.0,2.0,1.0,-1.0,-1.0,-2.0,81300,30500,-0.6248462484624846,"21,22년"
135,서비스업,도화엔지니어링,3.0,3.0,4.0,1.0,2.0,2.0,-2.0,-1.0,-2.0,7910,8970,0.1340075853350189,"21,22년"
136,서비스업,동성케미컬,3.0,4.0,4.0,4.0,5.0,3.0,1.0,1.0,-1.0,5790,4415,-0.2374784110535406,"21,22년"
137,서비스업,롯데관광개발,1.0,3.0,3.0,1.0,2.0,1.0,0.0,-1.0,-2.0,20200,9030,-0.552970297029703,"21,22년"
138,서비스업,롯데정보통신,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,38250,23350,-0.3895424836601307,"21,22년"
139,서비스업,미래아이앤지,1.0,2.0,2.0,1.0,1.0,1.0,0.0,-1.0,-1.0,540,302,-0.4407407407407407,"21,22년"
140,서비스업,비상교육,1.0,4.0,4.0,1.0,3.0,3.0,0.0,-1.0,-1.0,8450,5860,-0.3065088757396449,"21,22년"
142,서비스업,삼성에스디에스,5.0,6.0,5.0,5.0,6.0,5.0,0.0,0.0,0.0,153000,125000,-0.1830065359477124,"21,22년"
143,서비스업,삼성엔지니어링,5.0,6.0,5.0,5.0,6.0,4.0,0.0,0.0,-1.0,24800,23850,-0.0383064516129032,"21,22년"
144,서비스업,삼성출판사,1.0,1.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,34350,24850,-0.2765647743813683,"21,22년"
145,서비스업,성창기업지주,1.0,2.0,2.0,1.0,1.0,1.0,0.0,-1.0,-1.0,2545,1860,-0.2691552062868369,"21,22년"
146,서비스업,신세계푸드,4.0,5.0,5.0,2.0,4.0,4.0,-2.0,-1.0,-1.0,90400,47900,-0.4701327433628318,"21,22년"
147,서비스업,쎌마테라퓨틱스,1.0,2.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,6410,6410,0.0,"21,22년"
148,서비스업,아세아,3.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,124500,109000,-0.1244979919678714,"21,22년"
150,서비스업,아시아나IDT,3.0,2.0,1.0,1.0,2.0,2.0,-2.0,0.0,1.0,20300,10650,-0.4753694581280788,"21,22년"
151,서비스업,에스원,3.0,5.0,5.0,4.0,5.0,3.0,1.0,0.0,-2.0,83300,62400,-0.2509003601440576,"21,22년"
152,서비스업,엔씨소프트,4.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,627000,390000,-0.3779904306220095,"21,22년"
153,서비스업,예스코홀딩스,3.0,4.0,4.0,2.0,3.0,3.0,-1.0,-1.0,-1.0,38100,31650,-0.1692913385826771,"21,22년"
154,서비스업,용평리조트,2.0,2.0,3.0,2.0,1.0,1.0,0.0,-1.0,-2.0,6300,3040,-0.5174603174603175,"21,22년"
155,서비스업,웅진,1.0,4.0,4.0,2.0,4.0,2.0,1.0,0.0,-2.0,2415,1130,-0.5320910973084886,"21,22년"
156,서비스업,웅진씽크빅,3.0,5.0,4.0,2.0,4.0,4.0,-1.0,-1.0,0.0,3345,2280,-0.3183856502242152,"21,22년"
157,서비스업,유수홀딩스,1.0,3.0,5.0,3.0,4.0,4.0,2.0,1.0,-1.0,5970,6900,0.1557788944723618,"21,22년"
