회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),배당금(*)(IFRS)(천원),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),PER(최저)(IFRS),PBR(최고)(IFRS),매출액(요약)(백만원)
(주)한진중공업홀딩스,003480,2022/12,1995988000,2609000,444.19,18.38,62.17,122158000,19.26,0.61,10126
(주)한진칼,180640,2022/12,3915077621,11418966,51.98,65.8,-49.32,-3563195,6.05,1.91,45814
(주)한창,005110,2022/12,113480993,0,386.04,20.57,153.68,12269266,0,10.94,16791
(주)한창제지,009460,2022/12,,1193350,,,,,62.24,1.34,214924
(주)한컴라이프케어,372910,2022/12,208029841,0,62.61,61.5,-17.35,5082466,7.16,2.02,92810
(주)한화,000880,2022/12,211175324000,73730759,911.43,9.89,17.87,1873139000,7.84,1.01,3879925
(주)현대리바트,079430,2022/12,854159330,0,94.78,51.34,6.33,-42667021,0,0.86,1463233
(주)현대미포조선,010620,2022/12,4748245499,0,118.28,45.81,28.74,208406771,0,2.22,3695798
(주)현대백화점,069960,2022/12,12069249655,28411742,89.55,52.76,40.36,489391894,7.62,0.46,1655713
(주)현대지에프홀딩스,005440,2022/12,3185133373,18334455,45.05,68.94,12.54,8141962,7.5,0.64,1924028
(주)현대퓨처넷,126560,2022/12,915256452,9913802,8.32,92.32,12.81,-92006355,0,0.63,55060
(주)현대홈쇼핑,057050,2022/12,2782027992,29764150,42.03,70.41,-4.9,-53908637,7.82,0.52,1101635
(주)혜인,003010,2022/12,,644899,,,,,0,1.48,178030
(주)호텔신라,008770,2022/12,2938544987,7607742,444.39,18.37,30.24,220460437,0,7.34,4265984
(주)화승알앤에이,378850,2022/12,422569200,949539,356.04,21.93,0,31307500,4.59,1.25,657242
(주)화승엔터프라이즈,241590,2022/12,1475831731,2725686,149.64,40.06,45.27,96849046,48.96,2.94,6698
(주)화승인더스트리,006060,2022/12,1779489489,9421661,169.76,37.07,40.09,119983070,9,2.25,1229852
(주)화승코퍼레이션,013520,2022/12,1177218098,2220262,369.76,21.29,13.26,87876084,7.86,0.88,115517
(주)화신,010690,2022/12,1004620994,3292481,181.51,35.52,36.69,84539470,4.89,1.17,946869
(주)화인베스틸,133820,2022/12,,0,,,,,0,1.51,139604
(주)황금에스티,032560,2022/12,481912632,3397756,29.05,77.49,23.05,15244935,4.84,0.83,161285
(주)효성,004800,2022/12,5267284721,89592000,81.8,55.01,5.1,168209187,98.46,0.82,749996
(주)후성,093370,2022/12,933755417,1885567,124.84,44.48,60.15,94332855,17.55,7.17,413340
(주)휠라홀딩스,081660,2022/12,4821801378,45071879,87.29,53.39,11.28,-138674509,11.97,4.74,150464
(주)휴니드테크놀러지스,005870,2022/12,,0,,,,,8.64,1.16,222471
(주)휴비스,079980,2022/12,793759628,0,108.19,48.03,-5.62,-31402933,0,0.9,829338
(주)휴스틸,005010,2022/12,1206373632,19665826,32.69,75.36,67.22,206343476,0.45,0.3,764919
AJ네트웍스(주),095570,2022/12,1481445372,12087310,309.37,24.43,17.69,18324412,0,1.15,591934
CS홀딩스(주),000590,2022/12,364121571,558311,10.2,90.75,10.22,17143930,20.61,0.58,3783
DB금융투자(주),016610,2022/12,9757370294,6932411,831.67,10.73,-13.3,-116571057,123.41,0.36,1080601
DB손해보험(주),005830,2022/12,64496564963,276199957,1080.9,8.47,9.48,2878517118,3.81,1.1,19932530
