회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),[공통]   배당금(*)(요약)(IFRS),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(요약)
(주)하나금융지주,086790,2015/12,326912708000,148002,1323.11,7.03,21.83,2525496000,0.69,0.48,411671
(주)하나투어,039130,2015/12,504354080,8832,132.11,43.08,19.19,34997600,14.72,5.51,360012
(주)하이스틸,071090,2015/12,,0,,,,,0.53,0.25,132864
(주)하이트론씨스템즈,019490,2015/12,54818531,0,41.74,70.55,-24.53,-4206371,1.41,0.64,54341
(주)한국전자홀딩스,006200,2015/12,217226132,0,81.67,55.04,-21.28,1754474,0.46,0.21,7436
(주)한국종합기술,023350,2015/12,,1095,,,,,0.74,0.42,183988
(주)한국카본,017960,2015/12,347432101,4954,23.25,81.13,4.97,1925451,1.31,0.75,241307
(주)한국특강,007280,2015/12,,0,,,,,0.92,0.03,280303
(주)한국화장품제조,003350,2015/12,,0,,,,,8.4,1.02,45478
(주)한농화성,011500,2015/12,,1529,,,,,0.83,0.58,200994
(주)한독,002390,2015/12,530587277,1245,74.7,57.24,0,14640168,1.96,0.82,358477
(주)한미글로벌건축사사무소,053690,2015/12,124677883,2266,51.38,66.06,0.86,48408032,2.09,0.96,106928
(주)한샘,009240,2015/12,768849170,18080,76.67,56.6,29.09,201023782,21.05,6.86,1631047
(주)한섬,020000,2015/12,957470937,6591,15.17,86.83,17.5,45800332,1.3,0.83,615394
